task_id,task_description,category,priority,assigned_user,due_date,user_workload
TSK-0001,Optimize the front-end asset loading time for mobile devices for project 'Phoenix'. Assigned to user_20.,Feature,Medium,user_20,2025-08-15,8
TSK-0002,Design the UI/UX mockups for the new dashboard homepage for project 'Viper'. Assigned to user_2.,Design,High,user_2,2025-08-14,14
TSK-0003,Fix the critical bug in the payment processing gateway API for project 'Eagle'. Assigned to user_2.,Bug,High,user_2,2025-09-22,11
TSK-0004,Refactor the legacy database schema to improve performance for project 'Omega'. Assigned to user_7.,DevOps,Medium,user_7,2025-08-08,10
TSK-0005,Design the UI/UX mockups for the new dashboard homepage for project 'Eagle'. Assigned to user_3.,Design,Low,user_3,2025-08-10,1
TSK-0006,Build a data visualization component for the analytics dashboard for project 'Eagle'. Assigned to user_19.,Design,Medium,user_19,2025-07-31,12
TSK-0007,Develop the new user authentication module using OAuth 2.0 for project 'Eagle'. Assigned to user_13.,Feature,Medium,user_13,2025-08-20,11
TSK-0008,Set up a new CI/CD pipeline for the staging environment for project 'Eagle'. Assigned to user_13.,DevOps,Low,user_13,2025-09-22,7
TSK-0009,Build a data visualization component for the analytics dashboard for project 'Eagle'. Assigned to user_18.,Design,Low,user_18,2025-09-15,6
TSK-0010,Migrate the user data from the old server to the new cloud infrastructure for project 'Eagle'. Assigned to user_11.,Research,High,user_11,2025-07-29,15
TSK-0011,Migrate the user data from the old server to the new cloud infrastructure for project 'Viper'. Assigned to user_3.,Documentation,Medium,user_3,2025-09-18,6
TSK-0012,Migrate the user data from the old server to the new cloud infrastructure for project 'Phoenix'. Assigned to user_7.,Documentation,Medium,user_7,2025-09-21,5
TSK-0013,Migrate the user data from the old server to the new cloud infrastructure for project 'Phoenix'. Assigned to user_10.,Documentation,Medium,user_10,2025-09-14,6
TSK-0014,Develop the new user authentication module using OAuth 2.0 for project 'Eagle'. Assigned to user_10.,Feature,Low,user_10,2025-08-08,6
TSK-0015,Develop the new user authentication module using OAuth 2.0 for project 'Phoenix'. Assigned to user_6.,Feature,Medium,user_6,2025-07-31,9
TSK-0016,Migrate the user data from the old server to the new cloud infrastructure for project 'Viper'. Assigned to user_6.,Research,Medium,user_6,2025-09-01,11
TSK-0017,Refactor the legacy database schema to improve performance for project 'Viper'. Assigned to user_9.,DevOps,Medium,user_9,2025-08-12,10
TSK-0018,Analyze user feedback from the latest survey and create a summary report for project 'Omega'. Assigned to user_9.,Testing,Low,user_9,2025-09-15,4
TSK-0019,Design the UI/UX mockups for the new dashboard homepage for project 'Phoenix'. Assigned to user_7.,Design,High,user_7,2025-09-21,15
